name	category	genericName	unit	stockQuantity	reorderLevel	costPrice	sellingPrice	expiryDate	active
DEXON	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
DICLO GEL	Analgesics		tube	6	2	12	15	9/6/2028	yes
DICLOFENAC INJ	Analgesics		tablets	25	3	15	20	9/6/2028	yes
DIPEX	Analgesics		pcs	7	2	5	7	9/13/2028	yes
DOCTOR COT'VOA	Herbal Remedies		bottle	10	2	13	15	9/6/2028	yes
DOXYCYCLINE	Antibiotics		capsules	10	3	4	5	9/6/2028	yes
DREZ GEL SOLUTION	Skin Care		bottle	0	20	0	0	9/6/2028	yes
DREZ OINT			pcs	1	1	0	50	9/13/2028	yes
DYNWELL SYRUP	Vitamins & Supplements		bottle	18	40	10	15	9/6/2028	yes
EASYCARE PLASTER			pcs	160	10	0.3	0.5	9/13/2028	yes
EBONY	Herbal Remedies		bottle	0	30	8	10	9/6/2028	yes
ECL-ANTACID	Gastrointestinal		pcs	10	10	20	25	9/12/2028	yes
EFPAC			pcs	12	6	0	5	9/13/2028	yes
ENTERA 5	Gastrointestinal		tablets	3	30	20	25	9/6/2028	yes
ENVELOPES	Medical Supplies		pack	0	50	0	0	9/6/2028	yes
EPHEDRINE 1%	Respiratory		bottle	10	2	8	10	9/6/2028	yes
EPHEDRINE O.5%	Respiratory		bottle	10	2	8	10	9/6/2028	yes
EPIDERM CREAM	Skin Care		tube	8	2	10	12	9/6/2028	yes
EPPAC JNR	Analgesics		bottle	0	20	0	0	9/6/2028	yes
EYE CLEAR	Eye Care		bottle	0	20	0	0	9/6/2028	yes
EYE DROP	Eye Care		bottle	0	20	0	0	9/6/2028	yes
FAMILY PLANNING	Hormonal & Reproductive Health		pack	12	20	25	30	9/6/2028	yes
FENQLIBIN	Analgesics		tablets	0	30	0	0	9/6/2028	yes
FLUCONAZOLE	Antifungals		capsules	6	3	4	5	9/6/2028	yes
FOLIMON TONIC	Vitamins & Supplements		bottle	0	30	0	0	9/6/2028	yes
FONG BALM	Skin Care		tube	0	30	0	0	9/6/2028	yes
FRANCO HERBAL			pcs	5	0	25	30	9/13/2028	yes
FUNBACT A	Herbal Remedies		bottle	5	2	12	15	9/6/2028	yes
GANA BALM	Analgesics		pcs	0	10	10	12		yes
